num	section	title	size	wave	files	acceptance
58	3	Teacher PIN to unlock Commands	M	4	web/lib/teacher-pin.ts|web/components/TeacherPinDialog.tsx	A local PIN gates unlocking; never sent anywhere
59	3	Pin one craft to the top of Attention	S	1	web/lib/attention-pin.ts|web/lib/attention-pin.test.ts|web/components/AttentionPinButton.tsx|web/components/AttentionPinButton.test.tsx	One craft can be pinned; pinning never reorders the strips (DELIBERATE-POSITIONS 1)
60	3	Follow mode centres the Scope on the pinned craft	M	4	web/lib/scope-follow.ts|web/components/ScopeFollowToggle.tsx	Opt-in only; the fixed window stays the default (ADR-0014)
61	3	Class average height against the exercise target	M	4	web/lib/target-height.ts|web/components/TargetHeightStrip.tsx	Compares the class mean to the exercise target
62	3	Praise prompt surfacing a pupil doing well	M	4	web/lib/praise-prompt.ts|web/components/PraisePrompt.tsx	Surfaces one pupil with a stated reason
63	3	Struggling prompt surfacing a pupil who keeps drifting	M	4	web/lib/struggling-prompt.ts|web/components/StrugglingPrompt.tsx	Surfaces one pupil with a stated reason
64	3	Live burn-down of when the class runs out of battery	M	4	web/lib/class-burndown.ts|web/components/ClassBurndown.tsx	Earliest forced landing across the fleet, from observed charge only
65	3	Land in three minutes pre-warning	S	1	web/components/LandSoonWarning.tsx|web/components/LandSoonWarning.test.tsx|web/lib/land-soon.ts|web/lib/land-soon.test.ts	One warning at the configured lead time; not repeated
66	3	Voice callout with the pupil's name	M	4	web/lib/voice-callout.ts|web/components/VoiceCalloutToggle.tsx	Speaks name plus instruction; silent without a voice
67	3	Distinct alert tones per severity	S	4	web/lib/alert-tones.ts|web/components/AlertToneToggle.tsx	Two tones, distinguishable, off by default
68	3	Wall flash for an urgent item	S	4	web/components/walls/UrgentFlash.tsx	Respects prefers-reduced-motion
69	3	Audio-only mode for an earpiece	M	4	web/lib/audio-only-mode.ts|web/components/AudioOnlyToggle.tsx	Every alert is spoken; the screen is not required
70	3	Voice note without leaving Control	M	4	web/lib/voice-note.ts|web/components/VoiceNoteButton.tsx	Records a note against the running lesson
71	3	Voice note transcribed onto the incident	L	4	web/lib/voice-transcribe.ts	Transcription attaches to the incident text
72	3	Bell at exercise change	S	1	web/lib/exercise-bell.ts|web/lib/exercise-bell.test.ts|web/components/ExerciseBellToggle.tsx|web/components/ExerciseBellToggle.test.tsx	One sound when the exercise changes; off by default
73	3	Auto-advance to the next exercise with a confirm	M	4	web/lib/exercise-autoadvance.ts|web/components/ExerciseAutoAdvance.tsx	Never advances without the Teacher confirming
74	3	Freeze the whole board for thirty seconds	M	4	web/lib/board-freeze.ts|web/components/BoardFreezeToggle.tsx	Strips freeze the way the Scope already can, and say they are frozen
75	3	Choose which columns the strips carry	M	4	web/lib/strip-columns.ts|web/components/StripColumnsPanel.tsx	Column choice persists per laptop
76	3	Strip density preference remembered	S	1	web/lib/strip-density.ts|web/lib/strip-density.test.ts|web/components/StripDensityToggle.tsx|web/components/StripDensityToggle.test.tsx	Comfortable or compact, persisted, rem sizes only (ADR-0008)
77	4	Geofence breach alert	M	3	web/lib/geofence-breach.ts|web/lib/geofence-breach.test.ts|web/components/GeofenceBreachNotice.tsx|web/components/GeofenceBreachNotice.test.tsx	The drawn boundary now raises an Attention item when crossed
78	4	Altitude floor warning over the desks	S	1	web/lib/altitude-floor.ts|web/lib/altitude-floor.test.ts|web/components/AltitudeFloorNotice.tsx|web/components/AltitudeFloorNotice.test.tsx	Warns below the configured floor while airborne
79	4	Ceiling breaches counted into the report	S	1	web/lib/ceiling-breach-count.ts|web/lib/ceiling-breach-count.test.ts	Per-lesson count of ceiling breaches, readable afterwards
80	4	Separation alarm thresholds you can tune	S	1	web/lib/separation-thresholds.ts|web/lib/separation-thresholds.test.ts|web/components/SeparationThresholdPanel.tsx|web/components/SeparationThresholdPanel.test.tsx	Threshold is configurable and defaults to today's value
81	4	Near-miss log	M	4	web/lib/near-miss-log.ts|web/components/NearMissLog.tsx	Each close pass recorded with time and craft
82	4	Land all now with hold to confirm	S	1	web/components/LandAllButton.tsx|web/components/LandAllButton.test.tsx|web/lib/land-all.ts|web/lib/land-all.test.ts	Requires a sustained press; issues land to every airborne craft (ADR-0011)
83	4	Land one table at a time	S	1	web/components/LandTableButton.tsx|web/components/LandTableButton.test.tsx	Lands only the craft in the chosen group
84	4	Stop latch shown plainly and released deliberately	S	4	web/components/StopLatchPanel.tsx	The latch state and its release are unmistakable
85	4	Stop presses recorded onto the lesson	S	1	web/lib/stop-audit.ts|web/lib/stop-audit.test.ts	Every Stop is written to the lesson record with time and craft
86	4	Runaway craft procedure card	S	1	web/components/RunawayProcedureCard.tsx|web/components/RunawayProcedureCard.test.tsx	Fixed steps, shown when a craft leaves the room box
87	4	Lost link procedure card	S	1	web/components/LostLinkProcedureCard.tsx|web/components/LostLinkProcedureCard.test.tsx	Fixed steps, shown when contact is lost mid-flight
88	4	Fly-away direction hint from the last heading	M	4	web/lib/flyaway-hint.ts|web/components/FlyawayHint.tsx	States a bearing and a distance, with its age
89	4	Crash form in one tap prefilled	M	4	web/lib/crash-form.ts|web/components/CrashFormDialog.tsx	Time, craft, pupil and position are already filled in
90	4	Photo of the damage on the incident	M	4	web/lib/incident-photo.ts|web/components/IncidentPhotoButton.tsx	A still attaches to the incident, stored locally
91	4	Injury flag that escalates the record	M	4	web/lib/injury-flag.ts|web/components/InjuryFlagControl.tsx	An injured-party flag changes how the record prints
92	4	Incident severity from a list	S	1	web/lib/incident-severity.ts|web/lib/incident-severity.test.ts|web/components/IncidentSeveritySelect.tsx|web/components/IncidentSeveritySelect.test.tsx	Fixed severities replace free text; old records stay readable
93	4	Incident auto-drafted from what the board knew	M	4	web/lib/incident-autodraft.ts	Prefills the text from telemetry at that moment
94	4	Witness field on an incident	XS	1	web/lib/incident-witness.ts|web/lib/incident-witness.test.ts	Optional witness name stored with the incident
95	4	Parent notification draft from an incident	M	4	web/lib/parent-notice.ts|web/components/ParentNoticeDialog.tsx	Produces editable text; sends nothing itself
96	4	Near-miss and incident kept distinct	S	4	web/lib/near-miss-kind.ts	Two kinds, filtered separately in reports
97	4	Post-crash recovery checklist	M	4	web/lib/recovery-checklist.ts|web/components/RecoveryChecklist.tsx	A craft cannot be cleared until every step is ticked
98	4	Auto-ground a craft after an incident	M	4	web/lib/auto-ground.ts|web/components/AutoGroundNotice.tsx	The craft reads Not Ready until cleared
99	4	Escalation after three incidents in one lesson	S	4	web/lib/incident-escalation.ts|web/components/IncidentEscalationNotice.tsx	Suggests stopping; never stops on its own
100	4	Debrief note captured at the moment	S	1	web/components/DebriefNoteControl.tsx|web/components/DebriefNoteControl.test.tsx	A note attaches to the running lesson without leaving the screen
101	5	Record writes a real clip	M	3	web/lib/camera-recording.ts|web/lib/camera-clip.ts|web/lib/camera-clip.test.ts|web/components/CameraRecordingClip.tsx|web/components/CameraRecordingClip.test.tsx	captureStream to MediaRecorder to download; feature-detect and keep the mark-only fallback when unavailable, never pretending to record
102	5	Clip library for the session	S	1	web/lib/clip-library.ts|web/lib/clip-library.test.ts|web/components/ClipLibrary.tsx|web/components/ClipLibrary.test.tsx	Lists clips captured this session and re-downloads them
103	5	Snapshot gallery for stills already captured	S	1	web/lib/snapshot-gallery.ts|web/lib/snapshot-gallery.test.ts|web/components/SnapshotGallery.tsx|web/components/SnapshotGallery.test.tsx	Thumbnails of stills taken this session with their craft and time
104	5	Record all cameras to one clip each	S	4	web/components/CameraRecordAllButton.tsx	Starts a separate clip per craft, not one merged file
105	5	Trim a clip before saving	M	4	web/lib/clip-trim.ts|web/components/ClipTrimDialog.tsx	Start and end can be set before download
106	5	Auto-clip thirty seconds either side of an incident	M	4	web/lib/incident-clip.ts	A clip is kept around the incident without being asked
107	5	Detection log of what the model saw	M	4	web/lib/detection-log.ts|web/components/DetectionLog.tsx	Timestamped detections per craft
108	5	Alert when a person enters frame mid-flight	M	4	web/lib/person-in-frame.ts|web/components/PersonInFrameNotice.tsx	Raises an Attention item, once per entry
109	5	Frozen feed detector	S	1	web/lib/frozen-feed.ts|web/lib/frozen-feed.test.ts|web/components/FrozenFeedNotice.tsx|web/components/FrozenFeedNotice.test.tsx	Says the picture has stopped when no new frame arrives within the window
110	5	Camera health board	M	4	web/components/CameraHealthBoard.tsx|web/lib/camera-health.ts	Which feeds deliver, which are idle, which are frozen
111	5	Stream map editor in Settings	M	4	web/components/StreamMapEditor.tsx	Edits the map that is env or localStorage only today; sanitises to absolute http(s)
112	5	Mirror and rotate per camera	S	1	web/lib/camera-orientation.ts|web/lib/camera-orientation.test.ts|web/components/CameraOrientationControl.tsx|web/components/CameraOrientationControl.test.tsx	Per-craft mirror and rotation, persisted, applied to the pane
113	5	Picture in picture pop-out	S	1	web/components/CameraPipButton.tsx|web/components/CameraPipButton.test.tsx	Pops one feed out; hidden when the browser cannot
114	5	Contact sheet onto the report	M	4	web/lib/contact-sheet.ts|web/components/ContactSheet.tsx	One still per craft, printable with the lesson
115	5	Name each camera	XS	1	web/lib/camera-names.ts|web/lib/camera-names.test.ts	A label per camera, shown on the pane and the wall
116	5	One camera full screen on the wall with a name overlay	S	1	web/app/(app)/walls/camera-solo/page.tsx|web/components/walls/CameraSoloWall.tsx|web/components/walls/CameraSoloWall.test.tsx	One feed filling the wall with the craft name legible across a room
117	5	Camera grid density control	S	4	web/components/walls/CameraGridDensity.tsx	Two or three columns, chosen by the Teacher
118	5	Zoom into a region of one feed	M	4	web/lib/camera-zoom.ts|web/components/CameraZoomControl.tsx	A region can be magnified without changing the source
119	5	Timestamp burn-in for evidence clips	S	4	web/lib/clip-timestamp.ts	Optional burned-in clock on saved clips
120	5	Face blur for safeguarding	L	4	web/lib/face-blur.ts	Faces blurred before a clip is written
121	5	Per-pupil camera consent flag	M	4	web/lib/camera-consent.ts|web/components/CameraConsentPanel.tsx	A pupil marked no-camera is never recorded
122	5	Recording stops when the lesson ends	XS	1	web/lib/recording-autostop.ts|web/lib/recording-autostop.test.ts	Every mark and clip stops at lesson close
123	5	Storage guard before the disk fills	S	4	web/lib/storage-guard.ts|web/components/StorageGuardNotice.tsx	Warns before writing when space is short
124	5	Clip retention policy stated	S	4	web/lib/clip-retention.ts	How long clips are kept is said, not implied
125	5	Clips travel with the lesson report	M	4	web/lib/report-clips.ts	Clips are listed on the report and downloadable from it
126	5	Landing target readout onto the strip	S	4	web/components/LandingTargetStripLine.tsx	The QR landing target shows on the strip, display only
127	5	Landing accuracy scored from the QR target	M	4	web/lib/landing-accuracy.ts	Distance from the pad becomes a score
128	5	Detection scoring extended to per-pupil	M	4	web/lib/yolo-pupil-score.ts	The existing lesson score is attributed per pupil
129	6	No-fly zones drawn on the Scope	L	4	web/lib/no-fly-zones.ts|web/components/ScopeNoFlyZones.tsx	Zones drawn and breaches raised
130	6	Room box measured from the real room	M	4	web/lib/room-box.ts|web/components/RoomBoxPanel.tsx	The geofence extents become editable, defaulting to today's values
131	6	Furniture sketch under the grid	M	4	web/lib/room-furniture.ts|web/components/ScopeFurniture.tsx	Simple shapes drawn beneath the marks
132	6	Named zones on the Scope	M	4	web/lib/scope-zones.ts|web/components/ScopeZoneLabels.tsx	Zones carry names shown on the picture
133	6	Occupancy count per zone	M	4	web/lib/zone-occupancy.ts|web/components/ZoneOccupancy.tsx	How many craft are in each zone
134	6	Trail length control	XS	1	web/lib/trail-length.ts|web/lib/trail-length.test.ts|web/components/TrailLengthControl.tsx|web/components/TrailLengthControl.test.tsx	The ghost path window is adjustable and persisted
135	6	Trail colour per pupil	S	4	web/lib/trail-colour.ts	Colour never the sole channel; the name stays on the mark
136	6	Show or hide grounded craft	XS	1	web/lib/scope-show-grounded.ts|web/lib/scope-show-grounded.test.ts|web/components/ScopeGroundedToggle.tsx|web/components/ScopeGroundedToggle.test.tsx	Grounded craft can be hidden; the count of hidden craft is stated
137	6	Height ribbon per craft on the side view	M	4	web/components/ScopeHeightRibbon.tsx	A band showing height history on the elevation views
138	6	Target box for the exercise	M	4	web/lib/exercise-target-box.ts|web/components/ScopeTargetBox.tsx	A square the class must hover inside, drawn on the Scope
139	6	Distance from target readout	M	4	web/lib/target-distance.ts|web/components/TargetDistance.tsx	Metres from the target per craft
140	6	Path accuracy scored against a drawn shape	L	4	web/lib/path-accuracy.ts	A score comparing flown path to intended shape
141	6	Draw the shape the class has to fly	L	4	web/lib/shape-designer.ts|web/components/ShapeDesigner.tsx	A shape can be drawn and saved with the exercise
142	6	Replay that shape as a demonstration	M	4	web/components/ShapeDemoPlayer.tsx	The intended shape animates on the Scope
143	6	Distance between two chosen craft	S	4	web/lib/pair-distance.ts|web/components/PairDistanceReadout.tsx	Pick two craft, read the separation
144	6	Snap the window to the room	S	4	web/lib/scope-room-window.ts	The Scope window can lock to the room box instead of the fleet
145	6	North marker matched to the room	S	1	web/lib/scope-north.ts|web/lib/scope-north.test.ts|web/components/ScopeNorthMarker.tsx|web/components/ScopeNorthMarker.test.tsx	A configurable north offset drawn on the top-down view
146	6	Scale bar toggle	XS	1	web/components/ScopeScaleBar.tsx|web/components/ScopeScaleBar.test.tsx	A metre scale bar that can be shown or hidden
147	6	Scope on the wall at full size with names only	S	1	web/app/(app)/walls/scope/page.tsx|web/components/walls/ScopeWall.tsx|web/components/walls/ScopeWall.test.tsx	The picture fills the wall, names legible across a room
148	6	Colour-blind-safe mark shapes	S	1	web/lib/scope-mark-shapes.ts|web/lib/scope-mark-shapes.test.ts	Each status carries a distinct shape as well as a colour (ADR-0004)
149	6	Scope printed with the lesson report	S	4	web/components/ScopePrintFigure.tsx	The picture prints legibly on paper tokens
150	6	Screenshot the Scope in one press	XS	1	web/lib/scope-screenshot.ts|web/lib/scope-screenshot.test.ts|web/components/ScopeScreenshotButton.tsx|web/components/ScopeScreenshotButton.test.tsx	Downloads a PNG of the current picture
151	7	Land-all countdown announced on the wall	S	1	web/app/(app)/walls/landing-countdown/page.tsx|web/components/walls/LandingCountdownWall.tsx|web/components/walls/LandingCountdownWall.test.tsx	Counts the class down to landing, legible across a room
152	7	Pack-down checklist per craft	S	1	web/lib/packdown-checklist.ts|web/lib/packdown-checklist.test.ts|web/components/PackdownChecklist.tsx|web/components/PackdownChecklist.test.tsx	One tickable row per craft, reset each lesson
153	7	Battery back-on-charge tick	S	1	web/lib/battery-oncharge.ts|web/lib/battery-oncharge.test.ts|web/components/BatteryOnChargeTick.tsx|web/components/BatteryOnChargeTick.test.tsx	Records which packs went back on charge
154	7	Craft returned tick	S	1	web/lib/craft-returned.ts|web/lib/craft-returned.test.ts|web/components/CraftReturnedTick.tsx|web/components/CraftReturnedTick.test.tsx	The headcount out, with any craft still missing named
155	7	Damage check prompt per craft	S	1	web/lib/damage-check.ts|web/lib/damage-check.test.ts|web/components/DamageCheckPrompt.tsx|web/components/DamageCheckPrompt.test.tsx	Prompts once per craft at pack-down; a fail flags the craft
156	7	Auto-summary of the lesson before closing	M	4	web/lib/lesson-autosummary.ts|web/components/LessonAutoSummary.tsx	A readable paragraph derived from what happened
157	7	Confirm the lesson name at close	S	1	web/components/LessonNameConfirm.tsx|web/components/LessonNameConfirm.test.tsx	Closing prompts for a name so nothing is Untitled
158	7	One-line reflection attached at close	S	1	web/lib/lesson-reflection.ts|web/lib/lesson-reflection.test.ts|web/components/LessonReflectionField.tsx|web/components/LessonReflectionField.test.tsx	A free-text line stored on the lesson record
159	7	Next-lesson note	S	1	web/lib/next-lesson-note.ts|web/lib/next-lesson-note.test.ts|web/components/NextLessonNote.tsx|web/components/NextLessonNote.test.tsx	A note written at close and surfaced at the next prep
160	7	Remedial queue surfaced at close	S	1	web/components/CloseRemedialSummary.tsx|web/components/CloseRemedialSummary.test.tsx	The queue built by closing is shown immediately, not only later
161	7	Praise list captured while it is fresh	S	1	web/lib/praise-list.ts|web/lib/praise-list.test.ts|web/components/PraiseListField.tsx|web/components/PraiseListField.test.tsx	Names captured at close and carried onto the report
162	7	Overrun warning when the period is up	S	4	web/lib/lesson-overrun.ts|web/components/OverrunWarning.tsx	Warns once past the planned end
163	7	A forgotten running lesson closes itself at end of day	S	1	web/lib/lesson-autoclose.ts|web/lib/lesson-autoclose.test.ts	A lesson still open past the configured hour is closed and marked as auto-closed
164	7	Recover a lesson closed by accident	M	4	web/lib/lesson-reopen.ts|web/components/LessonReopenControl.tsx	The most recent close can be undone
165	7	End-of-day summary across every period	M	4	web/lib/end-of-day-summary.ts|web/components/EndOfDaySummary.tsx	Every lesson that day in one readable block
166	7	Pack-down time estimate	S	4	web/lib/packdown-estimate.ts|web/components/PackdownEstimate.tsx	Minutes to clear the room, from the checklist
167	8	Flight-track store with decimation and retention	M	2	web/lib/lesson-replay-store.ts|web/lib/lesson-replay-store.test.ts	Own localStorage key techtechflight:replay never synced; keeps status changes, heartbeats every 4s, caps at 4500 samples setting truncated, retains the running track plus the two most recently ended, survives QuotaExceededError, flushes at most every 10s
168	8	Headless replay recorder mounted app-wide	S	2	web/components/LessonReplayRecorder.tsx|web/components/LessonReplayRecorder.test.tsx|web/app/(app)/layout.tsx	Records regardless of which screen is open; seals the track after endLesson
169	8	Rebuild a Fleet frame from a track	M	2	web/lib/lesson-replay.ts|web/lib/lesson-replay.test.ts	replayFrameAt returns DroneState[] plus a GhostPathStore trail; a craft with no sample yet is omitted rather than shown Offline
170	8	Replay dialog with a transport	L	2	web/components/LessonReplayDialog.tsx|web/components/LessonReplayDialog.test.tsx	Scope used unchanged with no vitals and no selectedPanel; play, pause and scrub; playhead steps on a 100ms interval so fake timers can test it
171	8	Scrub marks from incidents bookmarks and Commands	S	2	web/lib/lesson-replay-marks.ts|web/lib/lesson-replay-marks.test.ts	Marks derived from the lesson record, each carrying a title so colour is never the only channel
172	8	Jump to the next incident	XS	2	web/components/ReplayNextIncidentButton.tsx|web/components/ReplayNextIncidentButton.test.tsx	Moves the playhead to the next incident after the current position
173	8	Playback speed one four and ten times	XS	2	web/components/ReplaySpeedControl.tsx|web/components/ReplaySpeedControl.test.tsx	Three speeds, current one announced to assistive technology
174	8	Solo one craft in the replay	S	4	web/components/ReplaySoloControl.tsx	Only the chosen craft is drawn
175	8	Replay entry from the Drone Details dialog	S	4	web/components/DroneReplayEntry.tsx	Opens the replay scoped to that craft
